37.5193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.52;37.52
37.7008;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;37.61;37.61
37.3931;0;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37.54;37.54
37.0854;0;0;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;37.42;37.42
37.3931;100;50;33;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;37.42;37.42
37.3063;0;78;44;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;37.40;37.40
37.5588;100;74;87;59;44;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;37.42;37.42
37.8586;100;100;86;91;69;55;60;60;60;60;60;60;60;60;60;60;60;60;60;60;37.48;37.48
38.1190;100;100;100;90;93;74;61;65;65;65;65;65;65;65;65;65;65;65;65;65;37.55;37.55
38.0322;0;75;87;90;82;87;70;59;62;62;62;62;62;62;62;62;62;62;62;62;37.60;37.60
38.1821;100;63;83;89;92;85;88;73;62;65;65;65;65;65;65;65;65;65;65;65;37.65;37.65
38.1190;0;70;50;73;83;87;80;84;70;60;63;63;63;63;63;63;63;63;63;63;37.69;37.69
37.8428;0;0;31;26;49;62;69;65;71;61;53;56;56;56;56;56;56;56;56;56;37.70;37.70
37.7245;0;0;0;25;22;43;57;64;60;67;58;50;54;54;54;54;54;54;54;54;37.70;37.70
38.3557;100;84;62;58;63;59;66;71;75;72;75;67;60;63;63;63;63;63;63;63;37.75;37.75
37.9928;0;63;57;45;43;49;46;53;60;64;62;66;59;54;56;56;56;56;56;56;37.76;37.76
37.6140;0;0;46;42;36;34;39;38;45;51;55;54;58;53;49;51;51;51;51;51;37.75;37.75
37.5825;0;0;0;45;41;35;34;39;37;44;50;55;53;58;53;48;51;51;51;51;37.74;37.74
37.3063;0;0;0;0;38;35;30;30;34;33;40;46;50;49;53;49;45;48;48;48;37.72;37.72
37.6298;100;54;51;32;24;48;45;40;39;42;41;46;51;55;53;57;53;49;51;51;37.72;37.72
37.7008;100;100;59;56;36;27;49;47;42;40;44;42;47;52;56;54;58;54;50;52;37.72;37.72
37.9375;100;100;100;70;67;48;38;55;52;47;46;48;47;51;55;58;57;60;56;52;37.73;37.73
38.2847;100;100;100;100;78;76;59;48;61;58;53;52;54;52;56;59;62;60;63;59;37.75;37.75
38.3321;100;100;100;100;100;79;77;60;49;61;59;53;52;55;53;56;60;62;61;64;37.77;37.77
38.3321;100;100;100;100;100;100;79;77;60;49;61;59;53;52;55;53;56;60;62;61;37.80;37.80
38.1190;0;0;18;65;75;77;83;68;66;53;45;57;55;50;49;51;50;53;57;59;37.81;37.81
37.8507;0;0;0;9;45;57;59;68;58;57;47;40;52;50;46;45;48;47;50;53;37.81;37.81
37.6693;0;0;0;0;7;37;49;51;61;52;51;43;37;49;48;44;43;45;44;48;37.81;37.81
37.8586;100;51;30;22;22;26;47;55;57;65;56;56;47;42;52;50;47;46;48;47;37.81;37.81
37.7718;0;69;41;26;20;20;24;44;52;54;62;54;53;46;40;51;49;46;45;47;37.81;37.81
38.1585;100;82;87;68;52;43;43;45;56;62;63;68;61;60;53;47;55;54;50;50;37.82;37.82
38.2531;100;100;85;89;71;56;47;47;49;59;63;65;69;62;62;54;49;56;55;51;37.83;37.83
39.6577;100;100;100;96;96;89;79;73;73;74;77;78;79;81;75;75;68;63;67;66;37.89;37.89
39.4288;0;86;87;89;86;87;81;73;68;68;68;72;73;74;76;71;71;65;60;65;37.93;37.93
39.2079;0;0;76;77;81;78;79;74;68;63;63;64;67;69;70;72;68;67;62;58;37.97;37.97
39.1132;0;0;0;72;73;78;75;77;72;66;62;62;62;66;68;68;71;66;66;61;38.00;38.00
39.4367;100;77;51;37;76;77;80;78;79;75;69;65;65;65;68;70;71;73;69;68;38.04;38.04
38.0322;0;19;18;16;14;47;48;53;52;54;52;49;47;47;48;51;53;53;56;54;38.04;38.04
38.1190;100;6;23;21;19;17;48;49;54;53;55;53;50;48;48;48;52;54;54;57;38.04;38.04
37.7876;0;21;5;19;18;17;15;44;46;50;49;51;49;47;45;45;46;49;51;51;38.03;38.03
37.7245;0;0;18;5;19;18;16;15;44;45;49;49;51;49;46;45;45;45;48;50;38.03;38.03
37.4562;0;0;0;12;4;17;16;15;14;41;42;47;46;48;46;44;43;43;43;46;38.01;38.01
37.9060;100;63;58;40;45;21;29;28;27;25;46;47;51;50;52;50;48;47;47;47;38.01;38.01
37.8192;0;84;56;52;37;42;20;29;28;26;24;46;47;50;50;51;50;48;46;46;38.01;38.01
